epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5
1,3.800154,0.865199,1.005407,0.615822,0.000000,0.000000,0.932301,0.836342,0.084334,0.278571,27.957452,19.804792,0.047664,0.047664,0.047664,0.047664,0.047664,0.047664,0.034579,"[0.03457943964109183, 0.034579440524735466, 0.034579439983343535, 0.03457943948184176, 0.03457943956237896]",0.034579,0.034579,0.034579,0.034579,0.034579
2,4.619747,0.763337,0.916426,0.489298,0.616136,0.566519,0.933405,0.843233,0.082928,0.227022,28.286157,21.252995,0.609533,1.000000,1.000000,1.000000,0.047664,0.000000,0.606916,"[1.0, 1.0, 1.0, 0.034579439879489124, 1.0489055515245906e-10]",1.000000,1.000000,1.000000,0.034579,0.000000
3,3.449734,0.219608,0.066459,0.045729,0.076347,0.064346,0.924283,0.839742,0.098756,0.241242,27.346109,20.852067,0.609533,1.000000,1.000000,1.000000,0.047664,0.000000,0.606916,"[1.0, 1.0, 1.0, 0.03457943987024067, 1.0432341412724666e-10]",1.000000,1.000000,1.000000,0.034579,0.000000
4,3.130495,0.197292,0.000000,0.000000,0.000000,0.000000,0.924463,0.840066,0.098147,0.240488,27.387459,20.870802,0.609533,1.000000,1.000000,1.000000,0.047664,0.000000,0.606916,"[1.0, 1.0, 1.0, 0.03457943987024246, 1.0432342173409016e-10]",1.000000,1.000000,1.000000,0.034579,0.000000
5,3.051718,0.061450,0.000000,0.000000,0.000000,0.000000,0.924661,0.840412,0.097519,0.239722,27.431922,20.889920,0.609533,1.000000,1.000000,1.000000,0.047664,0.000000,0.606916,"[1.0, 1.0, 1.0, 0.03457943987024246, 1.0432342173409016e-10]",1.000000,1.000000,1.000000,0.034579,0.000000
6,2.989605,0.058600,0.000000,0.000000,0.000000,0.000000,0.925002,0.840749,0.096139,0.239044,27.511489,20.907012,0.609533,1.000000,1.000000,1.000000,0.047664,0.000000,0.606916,"[1.0, 1.0, 1.0, 0.03457943987024246, 1.0432342173409016e-10]",1.000000,1.000000,1.000000,0.034579,0.000000
1,3.762455,0.870647,0.985858,0.608003,0.000000,0.000000,0.934227,0.839152,0.084145,0.249498,27.883175,20.589588,0.047664,0.047664,0.047664,0.047664,0.047664,0.047664,0.034579,"[0.03457943978576294, 0.03457944196781321, 0.03457943995814452, 0.03457943948347123, 0.03457943948013439]",0.034579,0.034579,0.034579,0.034579,0.034579
2,4.525678,0.765222,0.873688,0.456173,0.598696,0.635736,0.932975,0.840576,0.084087,0.252555,28.069558,20.385235,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.18762608308601e-11, 0.03457944014551235]",1.000000,1.000000,1.000000,0.000000,0.034579
3,3.149534,0.222962,0.099169,0.066059,0.079344,0.078882,0.932135,0.821301,0.084512,0.359346,28.299484,17.673844,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.233599843969383e-11, 0.03457944012235968]",1.000000,1.000000,1.000000,0.000000,0.034579
4,3.123993,0.167276,0.000000,0.000000,0.000000,0.000000,0.932132,0.821280,0.085225,0.360005,28.270293,17.660097,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.232665748229892e-11, 0.03457944012271304]",1.000000,1.000000,1.000000,0.000000,0.034579
5,3.142622,0.153963,0.000000,0.000000,0.000000,0.000000,0.932272,0.821346,0.085951,0.360432,28.245252,17.652198,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.232665908408098e-11, 0.03457944012271289]",1.000000,1.000000,1.000000,0.000000,0.034579
6,3.268447,0.149207,0.051025,0.030338,0.077684,0.079147,0.933707,0.825266,0.086039,0.326415,28.202591,18.335278,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.214938954028097e-11, 0.03457944013287834]",1.000000,1.000000,1.000000,0.000000,0.034579
7,3.281231,0.118168,0.065950,0.040562,0.090463,0.085257,0.937038,0.821188,0.083448,0.379915,28.511292,17.338718,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.28368530285456e-11, 0.034579440107818195]",1.000000,1.000000,1.000000,0.000000,0.034579
8,3.033018,0.058293,0.000000,0.000000,0.000000,0.000000,0.937096,0.821299,0.084572,0.380865,28.478020,17.325534,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.283851124261011e-11, 0.03457944010776606]",1.000000,1.000000,1.000000,0.000000,0.034579
9,2.964563,0.050429,0.000000,0.000000,0.000000,0.000000,0.936842,0.818267,0.086092,0.455042,28.390033,16.093882,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.323921065395626e-11, 0.03457944009268399]",1.000000,1.000000,1.000000,0.000000,0.034579
10,3.313464,0.118761,0.060118,0.027083,0.094480,0.092105,0.938752,0.832647,0.082119,0.286155,28.408359,19.440539,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.298687777065574e-11, 0.03457944010422486]",1.000000,1.000000,1.000000,0.000000,0.034579
11,2.824186,0.167082,0.000000,0.000000,0.000000,0.000000,0.940076,0.824562,0.083172,0.412513,28.377492,16.818240,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.126731231489696e-11, 0.03457944017214331]",1.000000,1.000000,1.000000,0.000000,0.034579
12,3.450633,0.137248,0.098684,0.044748,0.170982,0.202229,0.938814,0.820795,0.082285,0.404556,28.304463,16.988928,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.092428079919129e-11, 0.03457944019781222]",1.000000,1.000000,1.000000,0.000000,0.034579
13,3.481978,0.140628,0.100095,0.051875,0.160851,0.194455,0.937282,0.825140,0.079414,0.313695,28.371108,18.803483,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.23833366244678e-11, 0.034579440142258416]",1.000000,1.000000,1.000000,0.000000,0.034579
14,4.203776,0.252813,0.225820,0.124631,0.540097,0.568315,0.926303,0.831887,0.093778,0.279680,27.550699,19.742937,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.19753055972776e-11, 0.03457944017643538]",1.000000,1.000000,1.000000,0.000000,0.034579
15,2.769017,0.346306,0.000000,0.000000,0.000000,0.000000,0.925438,0.831625,0.096741,0.280877,27.364159,19.711019,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188213243209233e-11, 0.034579440182967054]",1.000000,1.000000,1.000000,0.000000,0.034579
16,3.086465,0.100562,0.000000,0.000000,0.000000,0.000000,0.925570,0.831602,0.098132,0.282486,27.296927,19.671514,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
17,2.999209,0.047699,0.000000,0.000000,0.000000,0.000000,0.925657,0.831581,0.099142,0.283526,27.253176,19.646233,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
18,3.025390,0.038706,0.000000,0.000000,0.000000,0.000000,0.925763,0.831550,0.100505,0.284863,27.197443,19.613947,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
19,3.039751,0.036071,0.000000,0.000000,0.000000,0.000000,0.925831,0.831521,0.101529,0.285963,27.157020,19.587600,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
20,3.015716,0.035219,0.000000,0.000000,0.000000,0.000000,0.925902,0.831475,0.102822,0.287480,27.107707,19.551541,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
21,3.001258,0.047440,0.000000,0.000000,0.000000,0.000000,0.925961,0.831430,0.104027,0.288850,27.061454,19.519288,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
22,2.985790,0.025445,0.000000,0.000000,0.000000,0.000000,0.926013,0.831384,0.105253,0.290124,27.016017,19.489600,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
23,3.053575,0.034552,0.000000,0.000000,0.000000,0.000000,0.926073,0.831318,0.107014,0.291850,26.952404,19.449590,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
24,3.065600,0.028718,0.000000,0.000000,0.000000,0.000000,0.926109,0.831274,0.108125,0.292927,26.910356,19.424782,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
21,2.478632,0.054487,0.000000,0.000000,0.000000,0.000000,0.925954,0.831438,0.103857,0.288611,27.068762,19.524890,0.159330,0.397483,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
22,2.445711,0.020614,0.000000,0.000000,0.000000,0.000000,0.926025,0.831379,0.105447,0.290262,27.008788,19.486396,0.160424,0.399412,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
23,2.414097,0.023703,0.000000,0.000000,0.000000,0.000000,0.926076,0.831328,0.106755,0.291622,26.959999,19.454948,0.161320,0.400994,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
24,2.431058,0.028402,0.000000,0.000000,0.000000,0.000000,0.926113,0.831285,0.107784,0.292686,26.922329,19.430475,0.162016,0.402228,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
25,2.474947,0.029825,0.000000,0.000000,0.000000,0.000000,0.926152,0.831234,0.108989,0.293902,26.878121,19.402640,0.162837,0.403634,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
26,2.393388,0.047671,0.000000,0.000000,0.000000,0.000000,0.926202,0.831168,0.110686,0.295414,26.814828,19.368195,0.164017,0.405377,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
27,2.433968,0.020616,0.000000,0.000000,0.000000,0.000000,0.926239,0.831115,0.112617,0.296611,26.745479,19.341042,0.165324,0.406756,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
28,2.403527,0.020099,0.000000,0.000000,0.000000,0.000000,0.926277,0.831057,0.114207,0.297891,26.683444,19.312197,0.166496,0.408225,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
29,2.427705,0.017141,0.000000,0.000000,0.000000,0.000000,0.926300,0.831018,0.115186,0.298722,26.644479,19.293574,0.167236,0.409176,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
30,2.475946,0.024068,0.000000,0.000000,0.000000,0.000000,0.926334,0.830956,0.116833,0.300021,26.579595,19.264569,0.168477,0.410659,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
31,2.455735,0.016148,0.000000,0.000000,0.000000,0.000000,0.926346,0.830926,0.117581,0.300648,26.550554,19.250621,0.169037,0.411375,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
32,2.453535,0.014514,0.000000,0.000000,0.000000,0.000000,0.926363,0.830873,0.118765,0.301749,26.504629,19.226249,0.169925,0.412627,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
33,2.432412,0.010886,0.000000,0.000000,0.000000,0.000000,0.926377,0.830825,0.119850,0.302711,26.462715,19.205029,0.170742,0.413720,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
34,2.461984,0.010879,0.000000,0.000000,0.000000,0.000000,0.926384,0.830794,0.120549,0.303329,26.435728,19.191476,0.171270,0.414419,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
35,2.444564,0.011191,0.000000,0.000000,0.000000,0.000000,0.926390,0.830761,0.121344,0.303994,26.405749,19.176894,0.171859,0.415173,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
36,2.427413,0.008275,0.000000,0.000000,0.000000,0.000000,0.926403,0.830708,0.122475,0.305044,26.361688,19.153967,0.172728,0.416359,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
37,2.441887,0.008990,0.000000,0.000000,0.000000,0.000000,0.926412,0.830674,0.123126,0.305700,26.335924,19.139678,0.173238,0.417100,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
38,2.431064,0.006247,0.000000,0.000000,0.000000,0.000000,0.926422,0.830636,0.123889,0.306451,26.305666,19.123374,0.173839,0.417947,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
39,2.428414,0.005223,0.000000,0.000000,0.000000,0.000000,0.926428,0.830609,0.124448,0.306961,26.283605,19.112342,0.174279,0.418521,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
