epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
25,1.747266,0.372702,0.000000,0.433504,0.000000,0.000000,0.920581,0.833171,0.116353,0.278730,26.833859,20.208684,0.181859,0.397142,0.057217,0.057477,0.057477,0.057477,0.057477,0.056177,0.056927,"[0.05747663634920509, 0.05747664018373234, 0.0574766365971771, 0.05747663595653565, 0.05473029790991813]",0.057477,0.057477,0.057477,0.057477,0.054730,0.042525,"[0.042056075572420894, 0.04205607846770805, 0.04205607596706563, 0.04205607519520586, 0.04439878921809354]",0.042056,0.042056,0.042056,0.042056,0.044399,0.042291,"[0.042056075572420894, 0.04205607846770805, 0.04205607596706563, 0.04205607519520586, 0.04323127516505271]",0.042056,0.042056,0.042056,0.042056,0.043231
26,1.675309,0.384271,0.000000,0.400504,0.000000,0.000000,0.923257,0.834497,0.106201,0.255195,27.548636,20.925880,0.164491,0.362704,0.057222,0.057477,0.057477,0.057477,0.057477,0.056203,0.056930,"[0.057476636240756614, 0.05747663885185878, 0.057476636995261, 0.05747663592962416, 0.05474322429414889]",0.057477,0.057477,0.057477,0.057477,0.054743,0.042562,"[0.042056075550917796, 0.04205607798011658, 0.04205607640588621, 0.04205607517053565, 0.04458745551562583]",0.042056,0.042056,0.042056,0.042056,0.044587,0.042310,"[0.042056075550917796, 0.04205607798011658, 0.04205607640588621, 0.04205607517053565, 0.043325984402347306]",0.042056,0.042056,0.042056,0.042056,0.043326
27,1.681983,0.381765,0.000000,0.399330,0.000000,0.000000,0.919082,0.836574,0.119580,0.268935,26.703361,20.533566,0.182921,0.381328,0.057154,0.057477,0.057477,0.057477,0.057477,0.055865,0.056896,"[0.05747663632446666, 0.05747664099179752, 0.05747663707078523, 0.05747663594009952, 0.05457258756998364]",0.057477,0.057477,0.057477,0.057477,0.054573,0.042508,"[0.04205607563591532, 0.042056080586491705, 0.04205607640564301, 0.04205607516934646, 0.044313860545212726]",0.042056,0.042056,0.042056,0.042056,0.044314,0.042283,"[0.04205607563591532, 0.042056080586491705, 0.04205607640564301, 0.04205607516934646, 0.043188215810191256]",0.042056,0.042056,0.042056,0.042056,0.043188
28,1.697012,0.377650,0.000000,0.393671,0.000000,0.000000,0.915362,0.832675,0.143295,0.279062,25.857985,20.389446,0.204657,0.387390,0.057194,0.057477,0.057477,0.057477,0.057477,0.056062,0.056916,"[0.05747663638891774, 0.05747663961279688, 0.05747663685282404, 0.057476635880367055, 0.05467233962226092]",0.057477,0.057477,0.057477,0.057477,0.054672,0.042523,"[0.04205607569074645, 0.04205607872336086, 0.04205607619415035, 0.04205607514947679, 0.044390336715751634]",0.042056,0.042056,0.042056,0.042056,0.044390,0.042290,"[0.04205607569074645, 0.04205607872336086, 0.04205607619415035, 0.04205607514947679, 0.04322666187441162]",0.042056,0.042056,0.042056,0.042056,0.043227
29,1.717768,0.369325,0.000000,0.399047,0.000000,0.000000,0.917014,0.837172,0.109878,0.260282,27.107182,20.786524,0.172543,0.371612,0.057178,0.057477,0.057477,0.057477,0.057477,0.055983,0.056908,"[0.05747663650199521, 0.057476637549855644, 0.057476636589315434, 0.05747663597034221, 0.05463192893067732]",0.057477,0.057477,0.057477,0.057477,0.054632,0.042519,"[0.04205607583787461, 0.042056076932115945, 0.04205607598675574, 0.04205607517825573, 0.044371392610678476]",0.042056,0.042056,0.042056,0.042056,0.044371,0.042288,"[0.04205607583787461, 0.042056076932115945, 0.04205607598675574, 0.04205607517825573, 0.043216975916413575]",0.042056,0.042056,0.042056,0.042056,0.043217
30,1.718549,0.363019,0.000000,0.393171,0.000000,0.000000,0.915279,0.836415,0.127593,0.257590,26.460020,20.880817,0.189807,0.367620,0.057213,0.057477,0.057477,0.057477,0.057477,0.056158,0.056925,"[0.05747663625367827, 0.057476639083420204, 0.0574766368006661, 0.05747663593111094, 0.054719843018468765]",0.057477,0.057477,0.057477,0.057477,0.054720,0.042547,"[0.04205607553445612, 0.042056078648890584, 0.042056076122588375, 0.04205607517993891, 0.044508666627075574]",0.042056,0.042056,0.042056,0.042056,0.044509,0.042302,"[0.04205607553445612, 0.042056078648890584, 0.042056076122588375, 0.04205607517993891, 0.043285922751668586]",0.042056,0.042056,0.042056,0.042056,0.043286
31,1.742682,0.356134,0.000000,0.393470,0.000000,0.000000,0.920637,0.833268,0.120897,0.278605,26.841610,20.287711,0.183018,0.394551,0.057150,0.057477,0.057477,0.057477,0.057477,0.055845,0.056894,"[0.05747663636566682, 0.05747663754159091, 0.05747663680717347, 0.05747663592833433, 0.05456270321534711]",0.057477,0.057477,0.057477,0.057477,0.054563,0.042518,"[0.042056075685104694, 0.042056076867797124, 0.042056076085090655, 0.04205607518158186, 0.04436483751019029]",0.042056,0.042056,0.042056,0.042056,0.044365,0.042288,"[0.042056075685104694, 0.042056076867797124, 0.042056076085090655, 0.04205607518158186, 0.04321373231286859]",0.042056,0.042056,0.042056,0.042056,0.043214
32,1.744227,0.353671,0.000000,0.390047,0.000000,0.000000,0.920378,0.837932,0.118790,0.261964,26.708117,20.725448,0.183779,0.374365,0.057138,0.057477,0.057477,0.057477,0.057477,0.055782,0.056887,"[0.05747663628318456, 0.05747663889975602, 0.0574766371065069, 0.057476635936561805, 0.05453074565612617]",0.057477,0.057477,0.057477,0.057477,0.054531,0.042509,"[0.04205607556179436, 0.0420560785807163, 0.0420560765350348, 0.042056075183986394, 0.044322949902085546]",0.042056,0.042056,0.042056,0.042056,0.044323,0.042283,"[0.04205607556179436, 0.0420560785807163, 0.0420560765350348, 0.042056075183986394, 0.04319275017023204]",0.042056,0.042056,0.042056,0.042056,0.043193
33,1.758657,0.348966,0.000000,0.387314,0.000000,0.000000,0.919184,0.834249,0.131556,0.275618,26.133026,20.339563,0.197866,0.392623,0.057199,0.057477,0.057477,0.057477,0.057477,0.056088,0.056918,"[0.057476636465043994, 0.05747663831866703, 0.05747663689837206, 0.05747663589173143, 0.05468511246559768]",0.057477,0.057477,0.057477,0.057477,0.054685,0.042546,"[0.04205607575108405, 0.04205607786075265, 0.042056076277605596, 0.0420560751480453, 0.04450593158625995]",0.042056,0.042056,0.042056,0.042056,0.044506,0.042302,"[0.04205607575108405, 0.04205607786075265, 0.042056076277605596, 0.0420560751480453, 0.043284568449092724]",0.042056,0.042056,0.042056,0.042056,0.043285
34,1.771170,0.344071,0.000000,0.387441,0.000000,0.000000,0.919881,0.836595,0.119258,0.257782,26.817997,20.917986,0.182754,0.365458,0.057153,0.057477,0.057477,0.057477,0.057477,0.055859,0.056895,"[0.05747663640766847, 0.0574766382376458, 0.05747663684078321, 0.05747663592035025, 0.05456981426787144]",0.057477,0.057477,0.057477,0.057477,0.054570,0.042498,"[0.04205607571736475, 0.0420560778176102, 0.0420560762064598, 0.042056075156320726, 0.04426606534873683]",0.042056,0.042056,0.042056,0.042056,0.044266,0.042278,"[0.04205607571736475, 0.0420560778176102, 0.0420560762064598, 0.042056075156320726, 0.04316405252513676]",0.042056,0.042056,0.042056,0.042056,0.043164
35,1.774862,0.343835,0.000000,0.386946,0.000000,0.000000,0.919885,0.837785,0.125179,0.255504,26.515753,20.969278,0.190773,0.364314,0.057285,0.057477,0.057477,0.057477,0.057477,0.056520,0.056962,"[0.0574766363220722, 0.057476637872736075, 0.05747663701787346, 0.057476635900800696, 0.054903380351456324]",0.057477,0.057477,0.057477,0.057477,0.054903,0.042592,"[0.0420560756400534, 0.04205607757570995, 0.04205607643031508, 0.042056075137337785, 0.044737886250231715]",0.042056,0.042056,0.042056,0.042056,0.044738,0.042325,"[0.0420560756400534, 0.04205607757570995, 0.04205607643031508, 0.042056075137337785, 0.04340150077531688]",0.042056,0.042056,0.042056,0.042056,0.043402
36,1.778446,0.343612,0.000000,0.385964,0.000000,0.000000,0.915656,0.836715,0.137111,0.268763,26.129115,20.567084,0.203012,0.382461,0.057218,0.057477,0.057477,0.057477,0.057477,0.056183,0.056928,"[0.057476636475666074, 0.05747663882388929, 0.05747663707056412, 0.057476635870834555, 0.054733005989168276]",0.057477,0.057477,0.057477,0.057477,0.054733,0.042564,"[0.04205607576648155, 0.042056078402579924, 0.04205607639049086, 0.042056075128434296, 0.044595624964570806]",0.042056,0.042056,0.042056,0.042056,0.044596,0.042311,"[0.04205607576648155, 0.042056078402579924, 0.04205607639049086, 0.042056075128434296, 0.043329859305133715]",0.042056,0.042056,0.042056,0.042056,0.043330
37,1.798593,0.334690,0.000000,0.390064,0.000000,0.000000,0.920568,0.838748,0.115652,0.255203,26.962275,20.971221,0.179214,0.364736,0.057230,0.057477,0.057477,0.057477,0.057477,0.056243,0.056934,"[0.0574766363970364, 0.05747663819481183, 0.05747663683476467, 0.05747663592654905, 0.0547637068843618]",0.057477,0.057477,0.057477,0.057477,0.054764,0.042528,"[0.042056075737513986, 0.04205607749148712, 0.04205607613920829, 0.04205607516401003, 0.044413311031987375]",0.042056,0.042056,0.042056,0.042056,0.044413,0.042293,"[0.042056075737513986, 0.04205607749148712, 0.04205607613920829, 0.04205607516401003, 0.04323822160853658]",0.042056,0.042056,0.042056,0.042056,0.043238
38,1.804520,0.330814,0.000000,0.385073,0.000000,0.000000,0.920257,0.838080,0.123132,0.264082,26.658230,20.732370,0.188002,0.374952,0.057234,0.057477,0.057477,0.057477,0.057477,0.056263,0.056936,"[0.05747663634460287, 0.05747663792897926, 0.05747663692262636, 0.05747663591627706, 0.05477355092336217]",0.057477,0.057477,0.057477,0.057477,0.054774,0.042513,"[0.04205607564579167, 0.0420560772983619, 0.04205607630338312, 0.042056075157458406, 0.04433890197696454]",0.042056,0.042056,0.042056,0.042056,0.044339,0.042285,"[0.04205607564579167, 0.0420560772983619, 0.04205607630338312, 0.042056075157458406, 0.04320067335176805]",0.042056,0.042056,0.042056,0.042056,0.043201
39,1.799366,0.330309,0.000000,0.381188,0.000000,0.000000,0.916061,0.839360,0.122119,0.254754,26.463626,20.979203,0.190124,0.363697,0.057194,0.057477,0.057477,0.057477,0.057477,0.056064,0.056916,"[0.057476636314696065, 0.05747663791269454, 0.057476636809677024, 0.05747663594576109, 0.05467321887449783]",0.057477,0.057477,0.057477,0.057477,0.054673,0.042507,"[0.042056075619286024, 0.042056077256163255, 0.042056076130314084, 0.04205607518714936, 0.04431141792600928]",0.042056,0.042056,0.042056,0.042056,0.044311,0.042282,"[0.042056075619286024, 0.042056077256163255, 0.042056076130314084, 0.04205607518714936, 0.04318689010802796]",0.042056,0.042056,0.042056,0.042056,0.043187
40,1.818737,0.326099,0.000000,0.383708,0.000000,0.000000,0.919426,0.839289,0.120497,0.258560,26.764276,20.831259,0.185105,0.370616,0.057207,0.057477,0.057477,0.057477,0.057477,0.056129,0.056922,"[0.057476636349190924, 0.0574766382596098, 0.05747663677802369, 0.05747663591284626, 0.05470562818337731]",0.057477,0.057477,0.057477,0.057477,0.054706,0.042553,"[0.04205607567494714, 0.04205607737517999, 0.0420560760735331, 0.04205607515819382, 0.04453967659707526]",0.042056,0.042056,0.042056,0.042056,0.044540,0.042305,"[0.04205607567494714, 0.04205607737517999, 0.0420560760735331, 0.04205607515819382, 0.043301661733658736]",0.042056,0.042056,0.042056,0.042056,0.043302
41,1.824293,0.323008,0.000000,0.383609,0.000000,0.000000,0.918821,0.837647,0.127510,0.265769,26.442037,20.668099,0.195302,0.379056,0.057168,0.057477,0.057477,0.057477,0.057477,0.055932,0.056903,"[0.05747663626641874, 0.05747663815297078, 0.0574766368323371, 0.057476635961772014, 0.05460638548732324]",0.057477,0.057477,0.057477,0.057477,0.054606,0.042490,"[0.04205607557688833, 0.042056077242513715, 0.042056076184426104, 0.04205607519732272, 0.04422625661679848]",0.042056,0.042056,0.042056,0.042056,0.044226,0.042274,"[0.04205607557688833, 0.042056077242513715, 0.042056076184426104, 0.04205607519732272, 0.04314399652237273]",0.042056,0.042056,0.042056,0.042056,0.043144
42,1.828644,0.319483,0.000000,0.385405,0.000000,0.000000,0.917392,0.838775,0.134749,0.264444,26.361698,20.802707,0.200245,0.374232,0.057266,0.057477,0.057477,0.057477,0.057477,0.056422,0.056952,"[0.05747663629128776, 0.05747663782955709, 0.05747663679622012, 0.05747663591919949, 0.054853323588171785]",0.057477,0.057477,0.057477,0.057477,0.054853,0.042558,"[0.04205607558260921, 0.04205607695739916, 0.04205607615318667, 0.04205607517284576, 0.04456393387534378]",0.042056,0.042056,0.042056,0.042056,0.044564,0.042308,"[0.04205607558260921, 0.04205607695739916, 0.04205607615318667, 0.04205607517284576, 0.04331385564719054]",0.042056,0.042056,0.042056,0.042056,0.043314
43,1.836863,0.314179,0.000000,0.382134,0.000000,0.000000,0.916321,0.837448,0.130696,0.259994,26.296876,20.944478,0.198054,0.366708,0.057187,0.057477,0.057477,0.057477,0.057477,0.056029,0.056912,"[0.057476636385866815, 0.05747663795740684, 0.057476636770080095, 0.05747663592375291, 0.05465511989382789]",0.057477,0.057477,0.057477,0.057477,0.054655,0.042520,"[0.04205607569826632, 0.04205607714607333, 0.042056076121883064, 0.042056075161480466, 0.04437500489660385]",0.042056,0.042056,0.042056,0.042056,0.044375,0.042289,"[0.04205607569826632, 0.04205607714607333, 0.042056076121883064, 0.042056075161480466, 0.04321870661695575]",0.042056,0.042056,0.042056,0.042056,0.043219
44,1.837403,0.311476,0.000000,0.380568,0.000000,0.000000,0.918640,0.837367,0.124746,0.259934,26.591155,20.873873,0.191249,0.369577,0.057195,0.057477,0.057477,0.057477,0.057477,0.056067,0.056916,"[0.057476636290248476, 0.05747663780929814, 0.05747663684291936, 0.05747663594225542, 0.05467466550340672]",0.057477,0.057477,0.057477,0.057477,0.054675,0.042531,"[0.042056075601227226, 0.042056077016646605, 0.0420560761684842, 0.042056075183278537, 0.04442984122635051]",0.042056,0.042056,0.042056,0.042056,0.044430,0.042294,"[0.042056075601227226, 0.042056077016646605, 0.0420560761684842, 0.042056075183278537, 0.04324629632351929]",0.042056,0.042056,0.042056,0.042056,0.043246
45,1.847620,0.310195,0.000000,0.382054,0.000000,0.000000,0.916966,0.837990,0.132229,0.264832,26.199314,20.750840,0.201136,0.376001,0.057260,0.057477,0.057477,0.057477,0.057477,0.056391,0.056949,"[0.05747663630989845, 0.05747663808849454, 0.057476636781869546, 0.05747663592519256, 0.05483795953665565]",0.057477,0.057477,0.057477,0.057477,0.054838,0.042562,"[0.04205607558875369, 0.04205607743852925, 0.04205607613812429, 0.04205607517058222, 0.04458791560197177]",0.042056,0.042056,0.042056,0.042056,0.044588,0.042310,"[0.04205607558875369, 0.04205607743852925, 0.04205607613812429, 0.04205607517058222, 0.04332590764959919]",0.042056,0.042056,0.042056,0.042056,0.043326
46,1.849150,0.305913,0.000000,0.383634,0.000000,0.000000,0.916783,0.838181,0.133559,0.264176,26.200401,20.771358,0.203034,0.375935,0.057237,0.057477,0.057477,0.057477,0.057477,0.056279,0.056938,"[0.057476636279198245, 0.057476638026211946, 0.05747663677935074, 0.05747663593256857, 0.054781478689570215]",0.057477,0.057477,0.057477,0.057477,0.054781,0.042549,"[0.042056075562290234, 0.04205607732705537, 0.042056076148464135, 0.04205607517753166, 0.044522028884212646]",0.042056,0.042056,0.042056,0.042056,0.044522,0.042303,"[0.042056075562290234, 0.04205607732705537, 0.042056076148464135, 0.04205607517753166, 0.0432927223467909]",0.042056,0.042056,0.042056,0.042056,0.043293
47,1.842725,0.305461,0.000000,0.382079,0.000000,0.000000,0.916713,0.838571,0.141964,0.266706,26.035127,20.750890,0.208677,0.377533,0.057225,0.057477,0.057477,0.057477,0.057477,0.056218,0.056931,"[0.05747663630085409, 0.05747663794809062, 0.057476636841417315, 0.0574766359298084, 0.05475078753505]",0.057477,0.057477,0.057477,0.057477,0.054751,0.042538,"[0.04205607556490557, 0.04205607729831358, 0.04205607622730703, 0.042056075177256166, 0.04446711928623436]",0.042056,0.042056,0.042056,0.042056,0.044467,0.042298,"[0.04205607556490557, 0.04205607729831358, 0.04205607622730703, 0.042056075177256166, 0.04326512057726959]",0.042056,0.042056,0.042056,0.042056,0.043265
48,1.845404,0.302885,0.000000,0.383493,0.000000,0.000000,0.919123,0.838458,0.132223,0.266884,26.356797,20.759717,0.200048,0.377094,0.057218,0.057477,0.057477,0.057477,0.057477,0.056184,0.056928,"[0.0574766363046371, 0.05747663796269186, 0.05747663682920493, 0.05747663592550179, 0.054733535196045215]",0.057477,0.057477,0.057477,0.057477,0.054734,0.042534,"[0.04205607558593751, 0.04205607725996839, 0.04205607622459009, 0.0420560751724133, 0.04444360888779546]",0.042056,0.042056,0.042056,0.042056,0.044444,0.042296,"[0.04205607558593751, 0.04205607725996839, 0.04205607622459009, 0.0420560751724133, 0.04325326516034223]",0.042056,0.042056,0.042056,0.042056,0.043253
49,1.847848,0.297967,0.000000,0.382001,0.000000,0.000000,0.918817,0.838554,0.132010,0.265109,26.266415,20.792481,0.200884,0.375627,0.057214,0.057477,0.057477,0.057477,0.057477,0.056162,0.056926,"[0.05747663630657597, 0.05747663800670987, 0.0574766368068509, 0.05747663593019624, 0.05472241900683582]",0.057477,0.057477,0.057477,0.057477,0.054722,0.042525,"[0.042056075584619844, 0.042056077319075826, 0.04205607619335779, 0.042056075176743125, 0.0443999815505389]",0.042056,0.042056,0.042056,0.042056,0.044400,0.042291,"[0.042056075584619844, 0.042056077319075826, 0.04205607619335779, 0.042056075176743125, 0.043231339457647115]",0.042056,0.042056,0.042056,0.042056,0.043231
50,1.842854,0.297373,0.000000,0.381707,0.000000,0.000000,0.918817,0.838738,0.131821,0.266076,26.318817,20.761871,0.200129,0.376934,0.057225,0.057477,0.057477,0.057477,0.057477,0.056219,0.056932,"[0.05747663630265408, 0.05747663794945214, 0.057476636835618745, 0.05747663592349973, 0.05475125780000767]",0.057477,0.057477,0.057477,0.057477,0.054751,0.042530,"[0.04205607558467966, 0.042056077258070576, 0.042056076221783936, 0.04205607517022627, 0.04442732758362279]",0.042056,0.042056,0.042056,0.042056,0.044427,0.042294,"[0.04205607558467966, 0.042056077258070576, 0.042056076221783936, 0.04205607517022627, 0.04324506119195945]",0.042056,0.042056,0.042056,0.042056,0.043245
